,"Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$"
"Countries, territories and areas","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Lao People's Democratic Republic","68.29","67.82","57.36","61.60","54.51","52.15","45.61","43.57","32.52","27.16","34.58","35.78","26.81","24.81","19.28","17.38","16.27","17.62","12.92","14.47","14.10"
"Latvia","1313.35","1183.12","1101.49","932.50","874.80","775.86","856.77","807.13","745.52","764.59","689.08","744.66","913.52","775.19","552.30","440.81","393.30","280.51","237.30","205.02","181.57"
"Lebanon","994.49","731.67","745.15","677.37","647.57","578.65","576.65","583.48","595.37","647.17","572.42","501.01","465.75","441.86","404.10","349.50","369.98","375.08","393.22","417.78","426.56"
"Lesotho","107.10","120.55","122.03","108.04","86.00","100.83","109.92","112.77","114.65","122.88","95.66","80.08","68.39","65.32","48.88","41.15","40.89","31.89","23.89","28.24","23.77"
"Liberia","56.71","52.09","65.75","68.92","68.21","71.17","62.93","57.04","54.16","52.79","43.91","42.61","39.95","40.01","27.28","28.08","26.29","8.46","8.95","10.65","12.81"
"Libya","","","","","","","","","","312.85","380.93","342.55","312.47","269.95","231.38","210.63","202.57","192.35","185.20","261.96","254.32"
"Lithuania","1522.17","1369.98","1249.03","1083.30","988.53","920.20","1021.23","958.93","896.94","925.47","805.22","864.74","936.51","704.29","536.06","438.93","366.96","338.86","254.37","218.82","217.18"
"Luxembourg","6757.00","6221.74","6227.08","5713.12","5475.14","5421.93","6547.03","6356.64","6029.48","7174.74","7459.84","7670.59","7578.75","6671.27","6070.74","5818.15","5610.35","4607.40","3600.87","3109.20","2901.20"
"Madagascar","17.95","19.35","21.89","24.39","24.42","22.66","22.90","19.69","19.27","22.94","21.37","20.11","21.47","19.23","16.78","16.22","14.58","17.07","15.46","15.48","12.76"
"Malawi","32.98","30.02","36.98","37.93","34.33","35.28","35.65","39.88","32.81","39.60","34.24","35.81","32.94","25.17","21.08","17.35","16.06","12.41","11.20","6.15","7.42"
"Malaysia","418.66","427.46","416.32","370.72","353.64","370.72","415.65","382.19","371.79","343.20","285.03","244.84","262.78","229.76","199.86","161.63","153.40","141.87","121.41","114.84","111.95"
"Maldives","825.57","851.51","804.87","932.76","993.47","823.19","702.09","670.55","645.91","587.00","607.55","678.18","773.51","477.29","403.24","334.49","303.87","239.95","248.91","229.36","219.48"
"Mali","35.45","32.61","31.96","29.23","28.31","29.75","36.68","30.87","28.27","32.53","32.20","35.57","34.10","30.43","27.66","24.62","22.32","19.29","16.34","13.53","14.40"
"Malta","3135.41","2943.63","2753.51","2551.72","2321.15","2243.47","2456.43","2121.08","1898.60","1960.06","1733.67","1677.36","1751.17","1596.12","1474.48","1379.69","1223.86","1074.09","830.65","685.98","647.10"
"Marshall Islands","731.10","782.24","736.77","646.29","654.57","571.25","476.77","485.22","452.07","424.92","417.30","406.95","429.44","445.58","532.66","509.71","381.62","306.88","311.03","332.20","370.74"
"Mauritania","59.05","60.21","59.15","54.20","48.90","57.41","59.37","55.35","49.02","47.48","43.39","44.13","48.52","39.64","34.38","33.18","30.64","28.69","25.21","22.58","22.31"
"Mauritius","560.41","671.86","642.33","594.98","539.51","515.37","544.40","440.10","387.23","385.77","357.00","301.46","312.63","229.04","203.08","192.01","184.66","157.65","132.40","116.41","115.96"
"Mexico","538.57","552.70","530.65","514.89","492.87","558.17","615.10","631.21","587.83","570.73","539.27","496.81","576.72","560.49","516.06","485.67","448.06","414.04","388.03","366.98","321.80"
"Micronesia (Federated States of)","424.84","420.58","422.45","405.33","396.63","359.79","343.01","353.23","370.93","377.49","361.80","325.84","290.12","259.47","246.38","399.61","259.03","209.74","170.65","181.97","161.96"
"Monaco","3085.44","3055.44","3101.35","2851.97","2839.89","3453.88","4080.18","3977.17","3698.65","3902.89","3766.98","3830.55","3911.39","3297.31","2891.12","2767.59","2671.23","2272.12","1581.05","1432.30","1394.28"
"Mongolia","199.82","182.87","158.25","146.24","157.36","165.85","177.32","180.84","169.84","136.05","99.48","76.66","97.29","66.24","49.60","37.03","32.63","26.01","29.05","25.92","26.42"
"Montenegro","866.17","732.35","727.26","611.53","596.28","576.84","578.73","596.48","535.58","572.47","","","","","","","","","","",""
"Morocco","187.40","177.25","175.28","166.47","161.83","162.51","188.40","179.73","172.06","179.05","168.38","165.44","153.10","131.67","110.00","96.96","90.93","77.51","63.35","56.33","54.39"
"Mozambique","34.28","40.41","40.81","36.26","31.38","39.91","43.08","41.18","35.03","30.28","26.18","27.63","24.36","19.30","18.10","18.49","14.23","11.15","10.06","8.61","7.07"
"Myanmar","57.62","61.15","60.38","59.07","59.22","63.14","53.87","37.40","36.97","27.20","20.08","18.57","14.61","9.85","8.42","7.61","6.98","6.54","7.04","4.60","4.45"
"Namibia","379.54","431.82","472.99","475.58","430.22","495.63","466.20","495.20","557.59","569.14","522.16","386.20","413.37","465.08","407.50","375.99","347.05","254.34","173.25","182.14","207.09"
"Nauru","1143.74","1158.77","1175.69","1092.88","957.29","959.49","746.36","818.12","859.05","659.43","614.13","563.17","791.20","572.73","354.25","320.37","210.49","266.06","291.12","341.19","454.44"
"Nepal","58.31","52.83","50.40","49.33","47.28","46.86","42.30","35.41","33.90","34.40","29.82","20.98","18.94","17.19","13.70","14.16","12.93","11.07","10.46","10.26","8.34"
"Netherlands","5846.15","5340.61","5330.66","4934.58","4753.67","4676.56","5601.89","5532.73","5284.65","5562.12","5191.69","5282.74","5382.45","4696.14","4080.22","3823.48","3689.46","3244.36","2544.81","2175.73","2028.18"
"New Zealand","4201.63","4081.59","3957.86","3903.68","3739.40","3600.96","4192.74","4014.97","3856.17","3656.73","3233.78","2713.81","2851.12","2706.80","2305.15","2296.61","1983.19","1611.79","1250.93","1054.33","1054.91"
"Nicaragua","161.20","161.99","168.45","177.15","167.37","161.28","152.64","137.10","130.78","122.53","115.32","110.53","107.07","92.09","77.76","72.14","65.15","60.82","56.95","56.52","52.25"
"Niger","35.01","31.22","30.09","28.69","22.43","25.73","24.89","24.44","22.57","24.69","23.34","24.41","24.71","20.84","19.79","18.54","13.96","12.45","10.75","9.59","8.96"
"Nigeria","69.76","69.68","65.70","72.77","78.24","96.28","106.12","100.82","91.06","83.11","75.59","68.01","80.10","69.15","65.72","53.93","44.16","39.08","18.06","18.49","17.65"
"Niue","1319.10","1156.83","1324.65","1222.98","1032.93","1120.29","1603.52","1348.95","1292.48","2297.55","1516.17","2249.53","2044.73","2044.29","3647.83","907.32","1080.50","511.34","424.90","1331.91","291.53"
